license,condition
agpl-3.0,include-copyright
agpl-3.0,document-changes
agpl-3.0,disclose-source
agpl-3.0,network-use-disclose
agpl-3.0,same-license
apache-2.0,include-copyright
apache-2.0,document-changes
bsd-2-clause,include-copyright
bsd-3-clause,include-copyright
bsl-1.0,include-copyright--source
epl-2.0,disclose-source
epl-2.0,include-copyright
epl-2.0,same-license
gpl-2.0,include-copyright
gpl-2.0,document-changes
gpl-2.0,disclose-source
gpl-2.0,same-license
gpl-3.0,include-copyright
gpl-3.0,document-changes
gpl-3.0,disclose-source
gpl-3.0,same-license
lgpl-2.1,include-copyright
lgpl-2.1,disclose-source
lgpl-2.1,document-changes
lgpl-2.1,same-license--library
mit,include-copyright
mpl-2.0,disclose-source
mpl-2.0,include-copyright
mpl-2.0,same-license--file
