license,limitation
agpl-3.0,liability
agpl-3.0,warranty
apache-2.0,trademark-use
apache-2.0,liability
apache-2.0,warranty
bsd-2-clause,liability
bsd-2-clause,warranty
bsd-3-clause,liability
bsd-3-clause,warranty
bsl-1.0,liability
bsl-1.0,warranty
cc0-1.0,liability
cc0-1.0,trademark-use
cc0-1.0,patent-use
cc0-1.0,warranty
epl-2.0,liability
epl-2.0,warranty
gpl-2.0,liability
gpl-2.0,warranty
gpl-3.0,liability
gpl-3.0,warranty
lgpl-2.1,liability
lgpl-2.1,warranty
mit,liability
mit,warranty
mpl-2.0,liability
mpl-2.0,trademark-use
mpl-2.0,warranty
unlicense,liability
unlicense,warranty
