levelID,type,name
1,1,Trace (Level 1)
2,1,Trace (Level 2)
3,1,Trace (Level 3)
4,1,Trace (Level 4)
5,2,Debug (Level 1)
6,2,Debug (Level 2)
7,2,Debug (Level 3)
8,2,Debug (Level 4)
9,3,Info (Level 1)
10,3,Info (Level 2)
11,3,Info (Level 3)
12,3,Info (Level 4)
13,4,Warn (Level 1)
14,4,Warn (Level 2)
15,4,Warn (Level 3)
16,4,Warn (Level 4)
17,5,Error (Level 1)
18,5,Error (Level 2)
19,5,Error (Level 3)
20,5,Error (Level 4)
21,6,Fatal (Level 1)
22,6,Fatal (Level 2)
23,6,Fatal (Level 3)
24,6,Fatal (Level 4)
